order_id,date,store_id,product_id,qty,amount,payment
ORD100067,2026-05-01,S01,P15,1,6.00,支付宝
ORD100068,2026-05-01,S03,P04,3,114.00,现金
ORD100069,2026-05-01,S01,P06,1,42.00,银行卡
ORD100070,2026-05-01,S01,P12,1,8.00,支付宝
ORD100071,2026-05-01,S04,P17,3,36.00,微信
ORD100072,2026-05-01,S04,P02,1,30.00,现金
ORD100073,2026-05-01,S01,P11,3,78.00,现金
ORD100074,2026-05-01,S03,P10,2,48.00,微信
ORD100075,2026-05-01,S02,P14,1,10.00,会员储值
ORD100076,2026-05-01,S05,P13,2,40.00,会员储值
ORD100077,2026-05-01,S04,P15,2,12.00,银行卡
ORD100078,2026-05-01,S04,P07,1,22.00,支付宝
ORD100079,2026-05-01,S04,P09,3,54.00,会员储值
ORD100080,2026-05-01,S01,P12,3,24.00,银行卡
ORD100081,2026-05-01,S02,P16,4,20.00,微信
ORD100082,2026-05-01,S01,P10,2,48.00,会员储值
ORD100083,2026-05-01,S05,P09,1,18.00,现金
ORD100084,2026-05-01,S05,P12,2,16.00,会员储值
ORD100085,2026-05-01,S04,P02,1,30.00,现金
ORD100086,2026-05-01,S04,P01,1,32.00,微信
ORD100087,2026-05-01,S01,P18,1,18.00,会员储值
ORD100088,2026-05-01,S03,P07,2,44.00,会员储值
ORD100089,2026-05-01,S02,P18,3,54.00,微信
ORD100090,2026-05-01,S02,P01,1,32.00,银行卡
ORD100091,2026-05-01,S04,P17,1,12.00,支付宝
ORD100092,2026-05-01,S02,P12,1,8.00,银行卡
ORD100093,2026-05-01,S05,P13,1,20.00,现金
ORD100094,2026-05-01,S01,P20,1,22.00,会员储值
ORD100095,2026-05-01,S01,P04,3,114.00,会员储值
ORD100096,2026-05-01,S03,P03,2,52.00,现金
ORD100097,2026-05-01,S01,P15,1,6.00,现金
ORD100098,2026-05-01,S01,P03,1,26.00,支付宝
ORD100099,2026-05-01,S05,P14,1,10.00,银行卡
ORD100100,2026-05-01,S01,P06,1,42.00,微信
ORD100101,2026-05-01,S04,P18,2,36.00,银行卡
ORD100102,2026-05-01,S03,P06,1,42.00,现金
ORD100103,2026-05-01,S02,P16,1,5.00,微信
ORD100104,2026-05-02,S04,P02,2,60.00,支付宝
ORD100105,2026-05-02,S04,P19,3,45.00,银行卡
ORD100106,2026-05-02,S02,P20,1,22.00,银行卡
ORD100107,2026-05-02,S03,P12,2,16.00,银行卡
ORD100108,2026-05-02,S02,P18,1,18.00,银行卡
ORD100109,2026-05-02,S04,P14,1,10.00,银行卡
ORD100110,2026-05-02,S01,P04,1,38.00,现金
ORD100111,2026-05-02,S05,P05,3,102.00,会员储值
ORD100112,2026-05-02,S05,P05,1,34.00,银行卡
ORD100114,2026-05-02,S02,P18,3,54.00,微信
ORD100115,2026-05-02,S01,P19,1,15.00,银行卡
ORD100116,2026-05-02,S02,P12,4,32.00,银行卡
ORD100117,2026-05-02,S04,P11,2,52.00,会员储值
ORD100118,2026-05-02,S01,P13,1,20.00,会员储值
ORD100119,2026-05-02,S02,P04,4,152.00,支付宝
ORD100120,2026-05-02,S02,P06,1,42.00,银行卡
ORD100121,2026-05-02,S02,P08,4,100.00,支付宝
ORD100122,2026-05-02,S01,P03,4,104.00,银行卡
ORD100123,2026-05-02,S01,P12,3,24.00,银行卡
ORD100124,2026-05-02,S03,P03,1,26.00,现金
ORD100125,2026-05-02,S02,P20,3,66.00,支付宝
ORD100126,2026-05-02,S04,P10,2,48.00,支付宝
ORD100127,2026-05-02,S03,P03,1,26.00,微信
ORD100128,2026-05-02,S01,P08,1,25.00,微信
ORD100129,2026-05-02,S02,P05,4,136.00,支付宝
ORD100130,2026-05-02,S03,P08,1,25.00,银行卡
ORD100131,2026-05-02,S03,P16,2,10.00,现金
ORD100132,2026-05-02,S03,P07,1,22.00,支付宝
ORD100133,2026-05-02,S04,P02,1,30.00,支付宝
ORD100134,2026-05-02,S05,P06,1,42.00,银行卡
ORD100135,2026-05-02,S01,P12,2,16.00,支付宝
ORD100136,2026-05-02,S03,P05,1,34.00,现金
ORD100137,2026-05-02,S02,P08,3,75.00,会员储值
ORD100138,2026-05-02,S01,P01,1,32.00,现金
ORD100139,2026-05-02,S05,P13,1,20.00,银行卡
ORD100140,2026-05-02,S01,P05,1,34.00,微信
ORD100141,2026-05-02,S05,P16,1,5.00,会员储值
ORD100142,2026-05-02,S02,P01,2,64.00,银行卡
ORD100144,2026-05-02,S01,P19,2,30.00,银行卡
ORD100145,2026-05-02,S05,P12,1,8.00,银行卡
ORD100146,2026-05-02,S05,P09,1,18.00,支付宝
ORD100147,2026-05-02,S04,P11,2,52.00,微信
ORD100148,2026-05-02,S05,P11,2,52.00,支付宝
ORD100149,2026-05-02,S03,P19,4,60.00,会员储值
ORD100150,2026-05-02,S04,P18,1,18.00,银行卡
ORD100151,2026-05-02,S02,P12,2,16.00,现金
ORD100152,2026-05-02,S04,P03,1,26.00,现金
ORD100153,2026-05-02,S01,P10,1,24.00,微信
ORD100154,2026-05-02,S01,P07,2,44.00,会员储值
ORD100155,2026-05-02,S03,P06,1,42.00,现金
ORD100156,2026-05-02,S05,P17,2,24.00,微信
ORD100157,2026-05-02,S03,P11,2,52.00,会员储值
ORD100158,2026-05-02,S03,P17,1,12.00,现金
ORD100159,2026-05-02,S03,P09,1,18.00,现金
ORD100160,2026-05-02,S03,P16,2,10.00,银行卡
ORD100161,2026-05-02,S01,P16,2,10.00,银行卡
ORD100162,2026-05-02,S02,P09,1,18.00,支付宝
ORD100163,2026-05-02,S02,P15,2,12.00,微信
ORD100164,2026-05-02,S05,P09,2,36.00,银行卡
ORD100165,2026-05-02,S02,P13,3,60.00,现金
ORD100166,2026-05-02,S01,P01,3,96.00,会员储值
ORD100167,2026-05-02,S01,P06,2,84.00,现金
ORD100168,2026-05-02,S05,P06,1,42.00,现金
ORD100169,2026-05-02,S02,P03,1,26.00,微信
ORD100170,2026-05-02,S02,P03,2,52.00,银行卡
ORD100171,2026-05-02,S01,P08,3,75.00,微信
ORD100172,2026-05-02,S05,P12,1,8.00,微信
ORD100173,2026-05-02,S02,P18,2,36.00,支付宝
ORD100174,2026-05-02,S02,P08,2,50.00,银行卡
ORD100175,2026-05-02,S05,P15,2,12.00,微信
ORD100176,2026-05-02,S04,P13,2,40.00,银行卡
ORD100177,2026-05-02,S04,P07,1,22.00,微信
ORD100178,2026-05-02,S01,P01,2,64.00,支付宝
ORD100179,2026-05-02,S05,P04,1,38.00,现金
ORD100180,2026-05-02,S02,P17,2,24.00,支付宝
ORD100181,2026-05-02,S05,P08,1,25.00,现金
ORD100182,2026-05-02,S03,P03,2,52.00,支付宝
ORD100183,2026-05-02,S02,P12,1,8.00,支付宝
ORD100184,2026-05-02,S04,P10,1,24.00,支付宝
ORD100185,2026-05-02,S04,P08,2,50.00,支付宝
ORD100186,2026-05-02,S04,P11,2,52.00,支付宝
ORD100187,2026-05-02,S02,P04,1,38.00,会员储值
ORD100188,2026-05-02,S03,P10,2,48.00,微信
ORD100189,2026-05-02,S05,P12,4,32.00,现金
ORD100190,2026-05-02,S05,P10,3,72.00,会员储值
ORD100191,2026-05-02,S05,P17,2,24.00,现金
ORD100192,2026-05-02,S01,P09,2,36.00,现金
ORD100193,2026-05-02,S03,P13,3,60.00,会员储值
ORD100194,2026-05-02,S05,P06,1,42.00,银行卡
ORD100195,2026-05-02,S05,P13,2,40.00,银行卡
ORD100196,2026-05-02,S05,P17,2,24.00,微信
ORD100197,2026-05-02,S03,P02,2,60.00,会员储值
ORD100199,2026-05-02,S01,P05,2,68.00,微信
ORD100200,2026-05-02,S01,P17,3,36.00,会员储值
ORD100201,2026-05-02,S01,P19,2,30.00,现金
ORD100202,2026-05-02,S01,P10,2,48.00,会员储值
ORD100203,2026-05-02,S05,P03,2,52.00,会员储值
ORD100204,2026-05-02,S05,P12,3,24.00,支付宝
ORD100205,2026-05-02,S01,P09,2,36.00,现金
ORD100206,2026-05-02,S01,P04,2,76.00,现金
ORD100207,2026-05-02,S05,P01,2,64.00,支付宝
ORD100208,2026-05-02,S02,P08,1,25.00,现金
ORD100209,2026-05-02,S03,P06,3,126.00,微信
ORD100210,2026-05-02,S03,P12,1,8.00,银行卡
ORD100211,2026-05-02,S04,P09,1,18.00,支付宝
ORD100212,2026-05-02,S05,P02,1,30.00,现金
ORD100213,2026-05-02,S01,P05,1,34.00,会员储值
ORD100214,2026-05-02,S04,P05,1,34.00,微信
ORD100215,2026-05-02,S02,P10,1,24.00,现金
ORD100216,2026-05-02,S03,P03,2,52.00,现金
ORD100217,2026-05-02,S05,P05,1,34.00,现金
ORD100218,2026-05-02,S03,P01,2,64.00,微信
ORD100219,2026-05-02,S02,P09,1,18.00,支付宝
ORD100220,2026-05-02,S04,P14,1,10.00,会员储值
ORD100221,2026-05-02,S05,P08,1,25.00,银行卡
ORD100222,2026-05-02,S04,P13,2,40.00,银行卡
ORD100223,2026-05-02,S01,P06,1,42.00,微信
ORD100224,2026-05-02,S01,P01,2,64.00,会员储值
ORD100225,2026-05-02,S02,P06,1,42.00,支付宝
ORD100226,2026-05-02,S02,P06,4,168.00,现金
ORD100228,2026-05-02,S03,P09,3,54.00,微信
ORD100229,2026-05-02,S02,P05,3,102.00,会员储值
ORD100230,2026-05-02,S03,P04,1,38.00,支付宝
ORD100231,2026-05-02,S02,P13,1,20.00,会员储值
ORD100232,2026-05-02,S01,P18,4,72.00,银行卡
ORD100233,2026-05-02,S02,P12,1,8.00,支付宝
ORD100234,2026-05-02,S05,P06,2,84.00,微信
ORD100235,2026-05-02,S01,P05,1,34.00,会员储值
ORD100236,2026-05-02,S01,P16,2,10.00,微信
ORD100237,2026-05-02,S04,P06,1,42.00,微信
ORD100238,2026-05-02,S03,P12,3,24.00,现金
ORD100239,2026-05-02,S05,P15,2,12.00,支付宝
ORD100240,2026-05-02,S05,P05,1,34.00,微信
ORD100241,2026-05-02,S02,P09,1,18.00,会员储值
ORD100242,2026-05-02,S01,P17,1,12.00,会员储值
ORD100243,2026-05-02,S01,P13,3,60.00,银行卡
ORD100244,2026-05-02,S04,P16,2,10.00,支付宝
ORD100245,2026-05-02,S05,P03,2,52.00,微信
ORD100246,2026-05-02,S02,P03,2,52.00,支付宝
ORD100247,2026-05-02,S01,P14,2,20.00,银行卡
ORD100248,2026-05-02,S02,P20,1,22.00,会员储值
ORD100249,2026-05-02,S01,P20,1,22.00,银行卡
ORD100250,2026-05-02,S02,P03,1,26.00,支付宝
ORD100251,2026-05-02,S05,P08,2,50.00,银行卡
ORD100252,2026-05-02,S01,P06,1,42.00,会员储值
ORD100253,2026-05-02,S03,P07,1,22.00,支付宝
ORD100254,2026-05-02,S03,P03,1,26.00,会员储值
ORD100255,2026-05-02,S05,P03,1,26.00,银行卡
ORD100256,2026-05-02,S03,P19,4,60.00,会员储值
ORD100257,2026-05-02,S01,P17,2,24.00,现金
ORD100258,2026-05-02,S01,P18,2,36.00,现金
ORD100259,2026-05-02,S02,P16,1,5.00,支付宝
ORD100260,2026-05-02,S03,P05,2,68.00,银行卡
ORD100261,2026-05-02,S05,P17,2,24.00,会员储值
ORD100262,2026-05-02,S03,P07,2,44.00,会员储值
ORD100263,2026-05-02,S02,P06,1,42.00,现金
ORD100264,2026-05-02,S03,P05,2,68.00,银行卡
ORD100265,2026-05-02,S02,P01,1,32.00,银行卡
ORD100266,2026-05-02,S03,P07,1,22.00,会员储值
ORD100267,2026-05-02,S05,P05,3,102.00,银行卡
ORD100268,2026-05-02,S02,P15,1,6.00,银行卡
ORD100269,2026-05-02,S03,P09,1,18.00,银行卡
ORD100270,2026-05-02,S02,P01,1,32.00,支付宝
ORD100271,2026-05-02,S01,P12,3,24.00,现金
ORD100272,2026-05-02,S03,P06,3,126.00,支付宝
ORD100273,2026-05-02,S02,P18,1,18.00,支付宝
ORD100274,2026-05-02,S03,P03,1,26.00,微信
ORD100275,2026-05-02,S03,P18,1,18.00,银行卡
ORD100276,2026-05-02,S03,P15,2,12.00,银行卡
ORD100277,2026-05-02,S05,P10,3,72.00,支付宝
ORD100278,2026-05-02,S04,P10,1,24.00,支付宝
ORD100279,2026-05-02,S05,P12,2,16.00,微信
ORD100280,2026-05-02,S04,P04,3,114.00,银行卡
ORD100281,2026-05-03,S05,P19,2,30.00,微信
ORD100282,2026-05-03,S04,P04,1,38.00,微信
ORD100283,2026-05-03,S03,P01,1,32.00,现金
ORD100284,2026-05-03,S04,P08,1,25.00,现金
ORD100286,2026-05-03,S05,P02,1,30.00,支付宝
ORD100287,2026-05-03,S05,P10,1,24.00,支付宝
ORD100288,2026-05-03,S05,P15,4,24.00,银行卡
ORD100289,2026-05-03,S05,P07,1,22.00,支付宝
ORD100290,2026-05-03,S01,P18,1,18.00,支付宝
ORD100291,2026-05-03,S01,P04,1,38.00,银行卡
ORD100292,2026-05-03,S05,P17,3,36.00,微信
ORD100293,2026-05-03,S04,P20,3,66.00,现金
ORD100294,2026-05-03,S04,P19,3,45.00,支付宝
ORD100295,2026-05-03,S02,P02,1,30.00,现金
ORD100296,2026-05-03,S02,P19,1,15.00,支付宝
ORD100297,2026-05-03,S02,P02,1,30.00,微信
ORD100298,2026-05-03,S03,P08,3,75.00,支付宝
ORD100299,2026-05-03,S02,P19,2,30.00,微信
ORD100300,2026-05-03,S02,P13,1,20.00,微信
ORD100301,2026-05-03,S01,P06,2,84.00,支付宝
ORD100302,2026-05-03,S03,P05,1,34.00,微信
ORD100303,2026-05-03,S05,P11,1,26.00,会员储值
ORD100304,2026-05-03,S01,P19,2,30.00,会员储值
ORD100305,2026-05-03,S04,P11,1,26.00,微信
ORD100306,2026-05-03,S03,P05,2,68.00,银行卡
ORD100307,2026-05-03,S05,P14,1,10.00,银行卡
ORD100308,2026-05-03,S02,P01,1,32.00,会员储值
ORD100309,2026-05-03,S03,P04,1,38.00,银行卡
ORD100311,2026-05-03,S05,P07,1,22.00,微信
ORD100312,2026-05-03,S02,P16,2,10.00,支付宝
ORD100313,2026-05-03,S05,P20,3,66.00,现金
ORD100314,2026-05-03,S02,P20,4,88.00,支付宝
ORD100315,2026-05-03,S04,P13,3,60.00,支付宝
ORD100316,2026-05-03,S04,P12,1,8.00,会员储值
ORD100317,2026-05-03,S01,P20,1,22.00,现金
ORD100318,2026-05-03,S05,P01,1,32.00,微信
ORD100319,2026-05-03,S03,P02,1,30.00,银行卡
ORD100320,2026-05-03,S03,P13,2,40.00,支付宝
ORD100321,2026-05-03,S04,P07,2,44.00,现金
ORD100322,2026-05-03,S01,P14,1,10.00,微信
ORD100323,2026-05-03,S03,P11,1,26.00,现金
ORD100324,2026-05-03,S04,P19,2,30.00,会员储值
ORD100325,2026-05-03,S03,P18,1,18.00,银行卡
ORD100326,2026-05-03,S05,P03,2,52.00,微信
ORD100327,2026-05-03,S02,P04,3,114.00,支付宝
ORD100329,2026-05-03,S05,P11,1,26.00,支付宝
ORD100330,2026-05-03,S01,P07,1,22.00,会员储值
ORD100331,2026-05-03,S01,P09,1,18.00,微信
ORD100332,2026-05-03,S04,P02,1,30.00,会员储值
ORD100333,2026-05-03,S02,P04,2,76.00,支付宝
ORD100334,2026-05-03,S01,P14,1,10.00,微信
ORD100335,2026-05-03,S03,P16,1,5.00,银行卡
ORD100336,2026-05-03,S01,P12,4,32.00,支付宝
ORD100337,2026-05-03,S05,P19,1,15.00,会员储值
ORD100338,2026-05-03,S01,P15,1,6.00,现金
ORD100340,2026-05-03,S04,P03,1,26.00,银行卡
ORD100341,2026-05-03,S02,P08,2,50.00,现金
ORD100342,2026-05-03,S01,P02,1,30.00,微信
ORD100343,2026-05-03,S03,P15,1,6.00,会员储值
ORD100344,2026-05-03,S01,P12,2,16.00,现金
ORD100345,2026-05-03,S05,P04,4,152.00,现金
ORD100346,2026-05-03,S02,P06,1,42.00,支付宝
ORD100347,2026-05-03,S02,P03,1,26.00,支付宝
ORD100348,2026-05-03,S01,P10,2,48.00,现金
ORD100349,2026-05-03,S05,P10,1,24.00,现金
ORD100350,2026-05-03,S04,P14,1,10.00,现金
ORD100351,2026-05-03,S02,P02,1,30.00,微信
ORD100352,2026-05-03,S04,P02,2,60.00,银行卡
ORD100353,2026-05-03,S05,P02,4,120.00,会员储值
ORD100354,2026-05-03,S04,P15,1,6.00,会员储值
ORD100355,2026-05-03,S04,P08,1,25.00,现金
ORD100356,2026-05-03,S01,P06,2,84.00,会员储值
ORD100357,2026-05-03,S05,P10,4,96.00,支付宝
ORD100358,2026-05-03,S05,P19,1,15.00,支付宝
ORD100359,2026-05-03,S02,P19,1,15.00,支付宝
ORD100360,2026-05-03,S04,P09,1,18.00,支付宝
ORD100361,2026-05-03,S05,P18,1,18.00,会员储值
ORD100362,2026-05-03,S02,P18,1,18.00,微信
ORD100363,2026-05-03,S05,P16,1,5.00,微信
ORD100364,2026-05-03,S03,P14,1,10.00,支付宝
ORD100365,2026-05-03,S01,P09,1,18.00,会员储值
ORD100366,2026-05-03,S01,P05,1,34.00,会员储值
ORD100367,2026-05-03,S01,P14,4,40.00,支付宝
ORD100368,2026-05-03,S02,P06,1,42.00,现金
ORD100369,2026-05-03,S05,P01,1,32.00,支付宝
ORD100370,2026-05-03,S04,P01,2,64.00,银行卡
ORD100371,2026-05-03,S01,P11,1,26.00,微信
ORD100372,2026-05-03,S01,P02,1,30.00,会员储值
ORD100373,2026-05-03,S03,P11,3,78.00,现金
ORD100374,2026-05-03,S04,P05,1,34.00,现金
ORD100375,2026-05-03,S02,P07,4,88.00,银行卡
ORD100376,2026-05-03,S03,P12,1,8.00,微信
ORD100377,2026-05-03,S05,P16,1,5.00,微信
ORD100378,2026-05-03,S04,P05,1,34.00,支付宝
ORD100379,2026-05-03,S05,P04,2,76.00,会员储值
ORD100380,2026-05-03,S02,P14,1,10.00,银行卡
ORD100381,2026-05-03,S01,P01,2,64.00,银行卡
ORD100382,2026-05-03,S03,P07,1,22.00,银行卡
ORD100383,2026-05-03,S05,P15,2,12.00,银行卡
ORD100384,2026-05-03,S01,P10,1,24.00,现金
ORD100385,2026-05-03,S03,P13,1,20.00,现金
ORD100386,2026-05-03,S01,P19,1,15.00,会员储值
ORD100387,2026-05-03,S05,P05,1,34.00,会员储值
ORD100388,2026-05-03,S04,P08,1,25.00,支付宝
ORD100389,2026-05-03,S04,P06,3,126.00,微信
ORD100390,2026-05-03,S04,P19,3,45.00,支付宝
ORD100391,2026-05-03,S05,P20,1,22.00,银行卡
ORD100392,2026-05-03,S04,P09,1,18.00,微信
ORD100393,2026-05-03,S01,P17,1,12.00,现金
ORD100394,2026-05-03,S01,P05,2,68.00,微信
ORD100395,2026-05-03,S02,P08,1,25.00,支付宝
ORD100396,2026-05-03,S05,P08,1,25.00,银行卡
ORD100397,2026-05-03,S04,P04,1,38.00,现金
ORD100398,2026-05-03,S02,P09,3,54.00,现金
ORD100399,2026-05-03,S01,P01,1,32.00,银行卡
ORD100400,2026-05-03,S01,P01,3,96.00,支付宝
ORD100401,2026-05-03,S03,P03,4,104.00,微信
ORD100402,2026-05-03,S04,P16,1,5.00,微信
ORD100403,2026-05-03,S04,P18,1,18.00,会员储值
ORD100404,2026-05-03,S02,P20,1,22.00,微信
ORD100405,2026-05-03,S02,P19,3,45.00,会员储值
ORD100406,2026-05-03,S05,P05,3,102.00,微信
ORD100407,2026-05-03,S03,P13,1,20.00,会员储值
ORD100408,2026-05-03,S03,P16,2,10.00,微信
ORD100409,2026-05-03,S01,P03,1,26.00,支付宝
ORD100410,2026-05-03,S03,P13,1,20.00,现金
ORD100411,2026-05-03,S05,P20,1,22.00,银行卡
ORD100412,2026-05-03,S03,P15,2,12.00,现金
ORD100413,2026-05-03,S04,P06,2,84.00,微信
ORD100414,2026-05-03,S01,P13,1,20.00,现金
ORD100415,2026-05-03,S03,P15,1,6.00,支付宝
ORD100416,2026-05-03,S01,P07,1,22.00,微信
ORD100417,2026-05-03,S04,P10,3,72.00,会员储值
ORD100418,2026-05-03,S04,P17,1,12.00,会员储值
ORD100419,2026-05-03,S01,P20,2,44.00,现金
ORD100420,2026-05-03,S03,P11,3,78.00,支付宝
ORD100421,2026-05-03,S02,P12,1,8.00,微信
ORD100422,2026-05-03,S04,P08,3,75.00,支付宝
ORD100423,2026-05-03,S01,P02,1,30.00,支付宝
ORD100424,2026-05-03,S02,P13,3,60.00,现金
ORD100425,2026-05-03,S05,P16,1,5.00,微信
ORD100426,2026-05-03,S04,P15,1,6.00,现金
ORD100427,2026-05-03,S03,P09,2,36.00,支付宝
ORD100428,2026-05-03,S04,P05,1,34.00,支付宝
ORD100429,2026-05-03,S04,P17,1,12.00,现金
ORD100430,2026-05-03,S01,P17,2,24.00,银行卡
ORD100431,2026-05-03,S02,P07,1,22.00,支付宝
ORD100432,2026-05-03,S01,P03,1,26.00,现金
ORD100433,2026-05-03,S05,P20,1,22.00,银行卡
ORD100434,2026-05-03,S02,P05,3,102.00,微信
ORD100435,2026-05-03,S01,P19,2,30.00,支付宝
ORD100436,2026-05-03,S01,P07,1,22.00,微信
ORD100437,2026-05-03,S02,P04,3,114.00,支付宝
ORD100438,2026-05-03,S02,P18,1,18.00,银行卡
ORD100439,2026-05-03,S05,P19,1,15.00,现金
ORD100440,2026-05-03,S01,P08,3,75.00,支付宝
ORD100441,2026-05-03,S02,P10,1,24.00,支付宝
ORD100442,2026-05-03,S03,P03,2,52.00,银行卡
ORD100443,2026-05-03,S01,P11,1,26.00,支付宝
ORD100444,2026-05-03,S02,P16,1,5.00,会员储值
ORD100445,2026-05-03,S01,P20,1,22.00,银行卡
ORD100446,2026-05-03,S01,P10,2,48.00,现金
ORD100448,2026-05-03,S02,P09,1,18.00,微信
ORD100449,2026-05-03,S04,P14,2,20.00,微信
ORD100450,2026-05-03,S04,P09,1,18.00,银行卡
ORD100451,2026-05-03,S03,P19,4,60.00,会员储值
ORD100452,2026-05-03,S05,P10,2,48.00,微信
ORD100453,2026-05-04,S01,P14,2,20.00,微信
ORD100454,2026-05-04,S01,P13,1,20.00,会员储值
ORD100455,2026-05-04,S02,P19,2,30.00,微信
ORD100456,2026-05-04,S03,P01,3,96.00,支付宝
ORD100457,2026-05-04,S03,P19,1,15.00,现金
ORD100458,2026-05-04,S02,P20,1,22.00,现金
ORD100459,2026-05-04,S04,P05,1,34.00,支付宝
ORD100460,2026-05-04,S03,P06,3,126.00,现金
ORD100461,2026-05-04,S03,P14,1,10.00,会员储值
ORD100462,2026-05-04,S01,P12,3,24.00,微信
ORD100463,2026-05-04,S01,P01,1,32.00,现金
ORD100464,2026-05-04,S02,P14,3,30.00,会员储值
ORD100465,2026-05-04,S02,P19,1,15.00,现金
ORD100466,2026-05-04,S03,P20,1,22.00,支付宝
ORD100467,2026-05-04,S05,P10,1,24.00,支付宝
ORD100468,2026-05-04,S01,P16,1,5.00,会员储值
ORD100469,2026-05-04,S01,P02,1,30.00,会员储值
ORD100470,2026-05-04,S03,P15,1,6.00,现金
ORD100471,2026-05-04,S01,P09,1,18.00,现金
ORD100472,2026-05-04,S05,P07,1,22.00,现金
ORD100474,2026-05-04,S05,P05,2,68.00,微信
ORD100475,2026-05-04,S01,P03,1,26.00,会员储值
ORD100476,2026-05-04,S01,P20,1,22.00,支付宝
ORD100477,2026-05-04,S04,P15,1,6.00,会员储值
ORD100478,2026-05-04,S02,P08,2,50.00,银行卡
ORD100479,2026-05-04,S01,P16,3,15.00,银行卡
ORD100480,2026-05-04,S05,P13,4,80.00,银行卡
ORD100481,2026-05-04,S05,P14,1,10.00,银行卡
ORD100482,2026-05-04,S02,P11,1,26.00,会员储值
ORD100483,2026-05-04,S03,P15,2,12.00,银行卡
ORD100484,2026-05-04,S03,P02,3,90.00,现金
ORD100485,2026-05-04,S04,P02,2,60.00,微信
ORD100486,2026-05-04,S03,P19,3,45.00,支付宝
ORD100487,2026-05-04,S04,P15,1,6.00,微信
ORD100488,2026-05-04,S01,P09,1,18.00,微信
ORD100489,2026-05-04,S04,P12,1,8.00,现金
